Step,Value
0,0.638049840927124
1,0.684684693813324
2,0.687334418296814
3,0.7058823704719543
4,0.7154213190078735
5,0.7180709838867188
6,0.7371489405632019
7,0.7535771131515503
8,0.7737149000167847
9,0.7662957310676575
10,0.7779543995857239
11,0.790673017501831
12,0.7790142893791199
13,0.7980921864509583
14,0.8028616905212402
15,0.8102808594703674
16,0.8007419109344482
17,0.8081610798835754
18,0.8203497529029846
19,0.8129305839538574
20,0.8256492018699646
21,0.8182299733161926
22,0.842077374458313
23,0.8240593671798706
24,0.839957594871521
25,0.8484366536140442
26,0.846316933631897
27,0.8638049960136414
28,0.8489665985107422
29,0.8648648858070374
30,0.8706942200660706
31,0.8759936690330505
32,0.8691043853759766
33,0.8903020620346069
34,0.8738738894462585
35,0.8812930583953857
36,0.8839427828788757
37,0.8966613411903381
38,0.9030206799507141
39,0.9099099040031433
40,0.8961313962936401
41,0.9099099040031433
42,0.8998410105705261
43,0.9046105146408081
44,0.9014308452606201
45,0.9051404595375061
46,0.9194488525390625
47,0.9152093529701233
48,0.9263380765914917
49,0.9332273602485657
