Step,Value
0,0.7101218700408936
1,0.7519872784614563
2,0.7636460065841675
3,0.7742448449134827
4,0.7790142893791199
5,0.7832538485527039
6,0.8002119660377502
7,0.7970322966575623
8,0.8039215803146362
9,0.8097509145736694
10,0.8118706941604614
11,0.8161102533340454
12,0.8219395875930786
13,0.8229994773864746
14,0.8267090916633606
15,0.8314785361289978
16,0.840487539768219
17,0.842077374458313
18,0.837837815284729
19,0.8479067087173462
20,0.8489665985107422
21,0.8484366536140442
22,0.8505564332008362
23,0.8537361025810242
24,0.8616852164268494
25,0.8600953817367554
26,0.8558558821678162
27,0.8669846057891846
28,0.8685744404792786
29,0.8712241649627686
30,0.8696343302726746
31,0.8754637241363525
32,0.8759936690330505
33,0.8775834441184998
34,0.8860625624656677
35,0.8897721171379089
36,0.8881822824478149
37,0.8828828930854797
38,0.8950715661048889
39,0.8897721171379089
40,0.8897721171379089
41,0.8961313962936401
42,0.8929517865180969
43,0.8903020620346069
44,0.8998410105705261
45,0.9014308452606201
46,0.9019607901573181
47,0.9046105146408081
48,0.9014308452606201
49,0.9062002897262573
