Step,Value
0,0.7312280535697937
1,0.7688460350036621
2,0.7830258011817932
3,0.7849906086921692
4,0.7869980335235596
5,0.7864907383918762
6,0.7901138067245483
7,0.7946181893348694
8,0.796637237071991
9,0.795967698097229
10,0.7951417565345764
11,0.7941176295280457
12,0.7968877553939819
13,0.7952302694320679
14,0.7940446734428406
15,0.7960116267204285
16,0.7980049848556519
17,0.7990012168884277
18,0.7978278994560242
19,0.8026756048202515
20,0.8016771078109741
21,0.8030239343643188
22,0.8045397400856018
23,0.8077245950698853
24,0.8063973188400269
25,0.8077571988105774
26,0.8087615966796875
27,0.8103084564208984
28,0.8119983077049255
29,0.8121827244758606
30,0.8145331740379333
31,0.8170680403709412
32,0.816949188709259
33,0.8183361887931824
34,0.8185689449310303
35,0.8204254508018494
36,0.8194208145141602
37,0.8208190202713013
38,0.8233290910720825
39,0.8229787349700928
40,0.8255863189697266
41,0.8258833289146423
42,0.8292890191078186
43,0.8307036757469177
44,0.832054615020752
45,0.8316239714622498
46,0.8339735865592957
47,0.8319112658500671
48,0.8339735865592957
49,0.8349679708480835
