Step,Value
0,0.7470414042472839
1,0.7664041519165039
2,0.7506914138793945
3,0.7718749642372131
4,0.7685448527336121
5,0.7709091305732727
6,0.7718585133552551
7,0.7729549407958984
8,0.7767969965934753
9,0.7881072163581848
10,0.7794432044029236
11,0.7870003581047058
12,0.8018949031829834
13,0.7957653403282166
14,0.8052287697792053
15,0.8140833377838135
16,0.8010424971580505
17,0.8147505521774292
18,0.8045178055763245
19,0.8076255917549133
20,0.8198432922363281
21,0.8043764233589172
22,0.8213356137275696
23,0.8172871470451355
24,0.8222997188568115
25,0.8258450627326965
26,0.8265524506568909
27,0.8306382894515991
28,0.8324873447418213
29,0.8357447385787964
30,0.839036762714386
31,0.8504273295402527
32,0.8332614898681641
33,0.8447257280349731
34,0.8335472345352173
35,0.8527067303657532
36,0.8472400903701782
37,0.8592028021812439
38,0.8474718928337097
39,0.8577494621276855
40,0.8573846220970154
41,0.8546143770217896
42,0.8518673181533813
43,0.8618504405021667
44,0.8638298511505127
45,0.8658119440078735
46,0.8601784706115723
47,0.8595529198646545
48,0.8616932034492493
49,0.8657604455947876
