Step,Value
0,0.6006560325622559
1,0.5422183275222778
2,0.5132400989532471
3,0.4955613911151886
4,0.48524123430252075
5,0.46602657437324524
6,0.44991451501846313
7,0.44048014283180237
8,0.42766478657722473
9,0.4137336015701294
10,0.4210667610168457
11,0.3914414644241333
12,0.38268405199050903
13,0.38643547892570496
14,0.3831941485404968
15,0.37528330087661743
16,0.36872434616088867
17,0.36452266573905945
18,0.3626944124698639
19,0.3645767569541931
20,0.3574168086051941
21,0.33638474345207214
22,0.32659637928009033
23,0.3261078894138336
24,0.32885539531707764
25,0.31369566917419434
26,0.2979651987552643
27,0.3030463755130768
28,0.30785855650901794
29,0.294071227312088
30,0.2861554026603699
31,0.2948070168495178
32,0.2877998352050781
33,0.27722492814064026
34,0.24327927827835083
35,0.24371039867401123
36,0.22211113572120667
37,0.22328683733940125
38,0.21821686625480652
39,0.21887421607971191
40,0.19503727555274963
41,0.18578171730041504
42,0.17752093076705933
43,0.1861596703529358
44,0.185295969247818
45,0.1643974632024765
46,0.14854151010513306
47,0.15933382511138916
48,0.13072045147418976
49,0.16061654686927795
